"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2023-05-26 00:00:00",423565,599043,29864,0,2028245,3652983.714285714,4106006.8571428573
"2023-05-27 00:00:00",469473,742343,7259,5708,3477269,3584347.4285714286,4182922.285714286
"2023-05-28 00:00:00",584713,884228,35685,0,3581501,3951413.4285714286,4351453.142857143
"2023-05-29 00:00:00",573441,619705,60945,0,2917764,4190895.714285714,4295999.428571428
"2023-05-30 00:00:00",304512,795234,6098,2409,2841338,4439285.428571428,4503764.714285715
"2023-05-31 00:00:00",885472,370422,12143,18802,3065581,4497221,4293536.857142857
"2023-06-01 00:00:00",398607,228714,21725,0,2008291,4000016.285714286,4080371
"2023-06-02 00:00:00",336768,818323,20244,0,2663808,4108362.714285714,4175659
"2023-06-03 00:00:00",661581,642848,72452,0,4571011,4286339.714285715,3976025.714285714
"2023-06-04 00:00:00",434211,627538,4954,0,4103453,4298343.571428572,3809799.8571428573
"2023-06-05 00:00:00",310626,1078989,19199,0,3933990,4465622.142857143,3832602.8571428573
"2023-06-06 00:00:00",463065,644659,17259,3951,2432236,4410133.428571428,3644627.714285714
"2023-06-07 00:00:00",644345,891378,22726,5467,3086133,4452651.857142857,3630414
"2023-06-08 00:00:00",364225,663073,27823,3931,2517823,4584014.285714285,3701080.714285714
"2023-06-09 00:00:00",367824,697959,26962,11439,3051397,4629219.714285715,3521472.285714286
"2023-06-10 00:00:00",541285,662255,33139,0,4108703,4543146.857142857,3700268.285714286
"2023-06-11 00:00:00",372690,1318599,7265,5247,3082061,4488247.857142857,3768176
"2023-06-12 00:00:00",442047,776748,33686,2364,4273985,4514823.142857143,3781136.5714285714
"2023-06-13 00:00:00",652718,503139,24029,7407,3217980,4635409.428571428,3821472.4285714286
"2023-06-14 00:00:00",448743,346530,579,0,2097219,4384412.428571428,3986387.8571428573
"2023-06-15 00:00:00",709434,219149,16280,0,4097333,4593744,4020664.1428571427
"2023-06-16 00:00:00",405160,264270,1929,0,3393289,4580753.714285715,4186499.4285714286
"2023-06-17 00:00:00",380626,609595,2900,0,2534698,4321101.857142857,4030916.1428571427
"2023-06-18 00:00:00",627193,859746,27193,0,3293693,4324239.428571428,4052468.8571428573
"2023-06-19 00:00:00",245037,648890,10871,9569,3009656,4094981,4029180.714285714
"2023-06-20 00:00:00",628300,907670,37959,5664,2491735,4047274.285714286,4120761.285714286
"2023-06-21 00:00:00",395601,256122,41866,13140,2050296,4027839.285714286,4042735.285714286
"2023-06-22 00:00:00",554816,735092,1395,5796,3849758,4042790.8571428573,4024165.4285714286
"2023-06-23 00:00:00",589362,581906,39303,7299,2899454,4050315.8571428573,3887663.285714286
"2023-06-24 00:00:00",509587,665140,51046,0,4248863,3496479.285714286,3824453.1428571427
"2023-06-25 00:00:00",562309,508632,16385,7247,2988095,3701442.4285714286,3901479.5714285714
"2023-06-26 00:00:00",533471,669295,43910,3401,3192357,3864612.5714285714,3809910.714285714
"2023-06-27 00:00:00",661120,491329,11670,5448,2068580,3864915.4285714286,3811851.5714285714
"2023-06-28 00:00:00",399655,626940,5734,0,2868903,3963044.714285714,3632501.285714286
"2023-06-29 00:00:00",557643,323373,76319,847,3294249,4081358,3745814.8571428573
"2023-06-30 00:00:00",602842,1086666,18726,2513,2835588,4276842.142857143,3737851.285714286
"2023-07-01 00:00:00",475053,674156,38676,2348,2722641,4053733.285714286,3937740.285714286
"2023-07-02 00:00:00",545181,321853,23594,0,3225468,4058508.8571428573,3934452.5714285714
"2023-07-03 00:00:00",438074,534648,1714,18284,3983446,4134756.4285714286,3947932
"2023-07-04 00:00:00",509081,465856,8808,0,2286926,4139402.714285714,3950410
"2023-07-05 00:00:00",591477,766362,39019,8638,4476044,4422303.714285715,3773464.4285714286
"2023-07-06 00:00:00",467263,675863,12236,0,2922986,4397434.571428572,3852907.8571428573
"2023-07-07 00:00:00",424831,567022,36761,6670,3227171,4356880.285714285,3782819
"2023-07-08 00:00:00",303637,371370,74945,0,2595488,4275818,3666838.285714286
"2023-07-09 00:00:00",645794,263661,25994,0,3409891,4308567.285714285,3670890
"2023-07-10 00:00:00",699025,680225,42287,0,3107522,4244694.857142857,3648999.4285714286
"2023-07-11 00:00:00",223035,796325,30534,0,3525797,4431126.285714285,3857452.5714285714
"2023-07-12 00:00:00",495558,290066,4732,3621,2887923,4116892.1428571427,3847546.4285714286
"2023-07-13 00:00:00",611940,587591,16661,0,3686233,4234617.428571428,3872456.1428571427
"2023-07-14 00:00:00",510780,751133,18515,0,2372584,4147554.1428571427,3883979.8571428573
"2023-07-15 00:00:00",264341,454293,3688,0,3086392,4213736.285714285,3728145.8571428573
"2023-07-16 00:00:00",500626,694231,48656,12256,3325586,4247452.857142857,3920473.285714286
"2023-07-17 00:00:00",326990,595817,57229,0,3274979,4208303.428571428,3934390.5714285714
"2023-07-18 00:00:00",687819,533707,47549,7239,3257904,4202378.857142857,3844745.285714286
"2023-07-19 00:00:00",577616,825658,49946,22076,3812599,4431806.714285715,3971867
"2023-07-20 00:00:00",397677,609911,2211,6953,3842999,4425710.571428572,3828063.1428571427
"2023-07-21 00:00:00",478786,499264,35240,0,1913845,4322013.857142857,3786509
"2023-07-22 00:00:00",440098,366258,21482,12441,2487431,4253299.142857143,4027931.1428571427
"2023-07-23 00:00:00",600806,303770,50895,4358,2464240,4087972.4285714286,3999939.714285714
"2023-07-24 00:00:00",273057,772258,11244,0,3623330,4148668.8571428573,3889383.5714285714
"2023-07-25 00:00:00",583655,532462,7935,2696,2944864,4082582.1428571427,3892923.714285714
"2023-07-26 00:00:00",653776,488309,36893,6492,2825418,3900152.714285714,3800896.8571428573
"2023-07-27 00:00:00",474914,473291,28600,4827,2786100,3744150,4046845
"2023-07-28 00:00:00",529133,628153,15327,0,3454499,3987003.714285714,4199489.714285715
"2023-07-29 00:00:00",363222,478850,4311,2993,2436926,3981088.4285714286,3913607.8571428573
"2023-07-30 00:00:00",388717,656817,26821,0,2509566,4003638.714285714,4008481.4285714286
"2023-07-31 00:00:00",588414,667015,16323,0,3425106,4006062.714285714,4220130
"2023-08-01 00:00:00",374902,670542,4125,0,3280165,4042937.1428571427,4063498.714285714
"2023-08-02 00:00:00",511513,673566,4808,4230,3037884,4074524.714285714,4032132
"2023-08-03 00:00:00",962002,445503,50317,4949,3373955,4227238.142857143,4265869
"2023-08-04 00:00:00",328171,415826,0,6962,2442397,4022416,4188352.285714286
"2023-08-05 00:00:00",479354,526011,9169,0,2589557,4067814.285714286,4612238.285714285
"2023-08-06 00:00:00",353812,662799,5447,4309,3307743,4175269.8571428573,4234419
"2023-08-07 00:00:00",425477,787656,0,0,2794972,4076876.5714285714,4081162.285714286
"2023-08-08 00:00:00",452115,212072,38768,0,2659560,3938702.5714285714,4184731.4285714286
"2023-08-09 00:00:00",508932,852375,8981,4257,3817634,4075870.714285714,4351068.714285715
"2023-08-10 00:00:00",709984,608998,34539,3661,2607831,3951340.1428571427,3746271
"2023-08-11 00:00:00",491178,479034,77676,0,2471598,3997930,4024770.8571428573
"2023-08-12 00:00:00",403344,643160,43691,6486,3515091,4141884.4285714286,3691999.5714285714
"2023-08-13 00:00:00",468967,728618,19268,3705,3669977,4000345.4285714286,4306280.428571428
"2023-08-14 00:00:00",663606,391481,8389,7375,2656014,4049192,4249515
"2023-08-15 00:00:00",498410,461771,25653,6870,2706928,4027514.1428571427,4243913.571428572
"2023-08-16 00:00:00",466090,527000,43620,4018,2304079,3942267.1428571427,4111664.714285714
"2023-08-17 00:00:00",385206,357778,1520,0,3425977,3808067,4011928.5714285714
"2023-08-18 00:00:00",758745,529675,67236,7210,2691901,3871778.5714285714,3948214.714285714
"2023-08-19 00:00:00",313142,833115,20430,4936,3461431,4074307.8571428573,3708952.714285714
"2023-08-20 00:00:00",525259,814808,11067,4482,3458711,4063420.8571428573,3714714.714285714
"2023-08-21 00:00:00",518238,270094,8137,6768,3106498,4089545.4285714286,3864128.4285714286
"2023-08-22 00:00:00",578264,789730,4560,3257,2552729,4122246.5714285714,3697100.5714285714
"2023-08-23 00:00:00",542408,772330,24181,26147,3172634,4292659.857142857,3876587.1428571427
"2023-08-24 00:00:00",290633,814345,64819,0,3936327,4426323.285714285,3943359.714285714
"2023-08-25 00:00:00",697070,579904,26346,0,1655228,4269720.428571428,4143913.714285714
"2023-08-26 00:00:00",439948,670105,10541,2438,3393330,4253050,4258847
"2023-08-27 00:00:00",490468,580279,14441,2680,1172026,3888131,3910189.1428571427
"2023-08-28 00:00:00",423923,485513,3386,0,3438945,3951278.1428571427,4038528
"2023-08-29 00:00:00",750466,474587,17409,0,2469524,3920341.714285714,3957600.285714286
"2023-08-30 00:00:00",511954,412586,41097,5617,2978217,3836309.285714286,3975730.714285714
"2023-08-31 00:00:00",369827,607828,12345,0,2505682,3606246.1428571427,4045713
"2023-09-01 00:00:00",778917,633683,1514,5042,2837584,3791702.4285714286,3867964.714285714
"2023-09-02 00:00:00",321300,693093,14137,0,3284754,3762691.4285714286,3721828.714285714
"2023-09-03 00:00:00",287454,863994,42029,0,2506936,3968479.714285714,3869130.8571428573
"2023-09-04 00:00:00",320513,486071,12861,2963,3134180,3912025.5714285714,3796067.8571428573
"2023-09-05 00:00:00",846755,637529,48834,0,3046506,4035973.8571428573,4037059.4285714286
"2023-09-06 00:00:00",444196,460932,52693,0,3582165,4120333,3740527.1428571427
"2023-09-07 00:00:00",375299,386164,23665,23454,3161832,4188152.1428571427,3669590.285714286
"2023-09-08 00:00:00",628001,504405,6756,0,2763609,4137585,3512302.5714285714
"2023-09-09 00:00:00",486404,780211,7762,2049,3467165,4199057.428571428,3756191.8571428573
"2023-09-10 00:00:00",344294,766632,24939,2120,2809307,4234326,3892426.5714285714
"2023-09-11 00:00:00",638894,764959,46482,0,2379485,4216216.142857143,3809982.285714286
"2023-09-12 00:00:00",390872,624839,2338,0,2284434,4033767.285714286,3586839.1428571427
"2023-09-13 00:00:00",402786,482408,13692,7064,2835069,3919629.285714286,3782035.8571428573
"2023-09-14 00:00:00",428047,442572,20891,0,4311001,4095642.714285714,3850334.8571428573
"2023-09-15 00:00:00",616507,643177,27447,0,1966652,4002930.1428571427,4078059.5714285714
"2023-09-16 00:00:00",532967,573920,10993,12026,2594221,3857292.5714285714,3961611.4285714286
"2023-09-17 00:00:00",227059,536504,44027,0,2402052,3751913.8571428573,3933051.714285714
"2023-09-18 00:00:00",497346,833992,8088,11813,2817843,3800380.1428571427,3902057.5714285714
"2023-09-19 00:00:00",546403,368459,4215,4082,2743604,3852420.1428571427,3965068.4285714286
"2023-09-20 00:00:00",616824,611119,44364,2427,3116738,3945341.8571428573,3885045.1428571427
"2023-09-21 00:00:00",302049,817912,48081,11302,2051595,3663688.714285714,3783741
"2023-09-22 00:00:00",673810,688642,0,4318,3481358,3891452.1428571427,3633533.1428571427
"2023-09-23 00:00:00",224545,611958,6865,3414,2116044,3782694.714285714,3689177
"2023-09-24 00:00:00",495724,766341,4451,0,1989895,3789376,3609618
"2023-09-25 00:00:00",772322,536122,34521,4013,3032748,3819467.8571428573,3625040.1428571427
"2023-09-26 00:00:00",486132,219546,31265,2035,3466968,3896494.1428571427,3908632.4285714286
"2023-09-27 00:00:00",488529,460876,17189,7828,3011148,3838508,3758906.8571428573
"2023-09-28 00:00:00",677428,315799,12409,3104,2529794,3882450.1428571427,3682703.285714286
"2023-09-29 00:00:00",310333,552989,41041,3431,2717727,3707792.1428571427,3535297
"2023-09-30 00:00:00",579960,827446,45470,20504,3761411,4032358.5714285714,3332684.4285714286
"2023-10-01 00:00:00",492240,698481,5683,0,2514787,4097327.285714286,3604407.4285714286
"2023-10-02 00:00:00",711518,587769,10754,4129,3795711,3893477.5714285714,3822141.714285714
"2023-10-03 00:00:00",506546,716241,9413,3812,3046925,3409435.1428571427,3819879.4285714286
"2023-10-04 00:00:00",529800,664834,56912,6035,3174739,3542686.285714286,3618018.5714285714
"2023-10-05 00:00:00",467502,386629,24763,4880,2121118,3448622.8571428573,3426682.4285714286
"2023-10-06 00:00:00",326172,293403,65620,8161,3870660,3662912.5714285714,3300875.8571428573
"2023-10-07 00:00:00",522993,796342,32804,0,1930562,3606360.4285714286,3202455.285714286
"2023-10-08 00:00:00",184275,535880,10990,8188,3333004,3740067.8571428573,3210472.285714286
"2023-10-09 00:00:00",463905,565012,16621,0,3054547,3962757.714285714,3258812.5714285714
"2023-10-10 00:00:00",632155,1143237,10536,11512,4039480,4184755,3295371.285714286
"2023-10-11 00:00:00",220950,335992,19512,9722,2519862,3995286.1428571427,3307136.285714286
"2023-10-12 00:00:00",568898,610463,8644,0,3119989,4181443.4285714286,3285245.5714285714
"2023-10-13 00:00:00",718949,278021,46940,5042,2563770,4045544,3422930.8571428573
"2023-10-14 00:00:00",797919,385575,15222,9884,3103372,4192582.8571428573,3758781.285714286
"2023-10-15 00:00:00",343250,404405,14566,10148,2780722,4118404.8571428573,3814362.8571428573
