state,district,last_name,first_name,longitude,latitude,party,num_grants,total_grants_millions,DistPresVote,StatePresVote
IL,17,Sorensen,Eric,-90.02740729,41.26095359129705,Democrat,1,2,D,D
MA,2,McGovern,James,-72.20410557,42.42746876,Democrat,3,115,D,D
MA,3,Trahan,Lori,-71.58778756,42.58658484,Democrat,3,40,D,D
MA,5,Clark,Katherine,-71.27301322,42.38680771160698,Democrat,9,180,D,D
MA,6,Moulton,Seth,-70.97278374,42.63981555116799,Democrat,3,18,D,D
MA,7,Pressley,Ayanna,-71.08151802,42.30440576460808,Democrat,9,208,D,D
MA,8,Lynch,Stephen,-71.04922663,42.16178209061391,Democrat,2,9,D,D
MA,9,Keating,Bill,-70.60684941,41.75256172715982,Democrat,3,6,D,D
MD,1,Harris,Andy,-75.90331633,38.80630211894108,Republican,1,4,R,D
MD,3,Elfreth,Sarah,-76.78035537,39.18875959295274,Democrat,4,7,D,D
MD,4,Ivey,Glenn,-76.91206016,38.92403798530332,Democrat,4,11,D,D
MD,5,Hoyer,Steny,-76.7549308,38.56292528207617,Democrat,1,2,D,D
MD,7,Mfume,Kweisi,-76.60252518,39.28731991956611,Democrat,3,159,D,D
MI,6,Dingell,Debbie,-83.71624085,42.24719229015248,Democrat,1,31,D,R
MN,4,McCollum,Betty,-92.99004,45.00368219627008,Democrat,2,466,D,D
MN,5,Omar,Ilhan,-93.29153447,44.983174443591935,Democrat,5,76,D,D
MN,7,Fischbach,Michelle,-95.67813406,46.20484689529475,Republican,1,20,R,D
MN,8,Stauber,Pete,-93.41920482,47.39581751,Republican,1,50,R,D
MO,2,Wagner,Ann,-90.95973674,38.53320347480192,Republican,1,189,R,R
NH,1,Pappas,Chris,-71.19409048,43.40830439946329,Democrat,1,5,D,D
NJ,6,Pallone,Frank,-74.24791641,40.46250579387949,Democrat,2,5,D,D
NJ,12,Watson Coleman,Bonnie,-74.58094738,40.39240807958018,Democrat,1,2,D,D
NM,1,Stansbury,Melanie,-105.2351515,34.27660998843909,Democrat,3,52,D,D
NM,2,Vasquez,Gabe,-107.004476,33.19952111,Democrat,4,56,R,D
NM,3,Leger Fernandez,Teresa,-105.5055122,35.638812090366656,Democrat,2,65,D,D
NY,3,Suozzi,Thomas,-73.57880354,40.81547504,Democrat,1,11,R,D
NY,6,Meng,Grace,-73.82610328,40.73838574138184,Democrat,1,2,D,D
NY,9,Clarke,Yvette,-73.95091997,40.63884684384431,Democrat,1,1,D,D
NY,10,Goldman,Dan,-74.00051155,40.684365352520174,Democrat,12,17840,D,D
NY,12,Nadler,Jerrold,-73.97560056,40.76453749520126,Democrat,2,4,D,D
NY,13,Espaillat,Adriano,-73.93340428,40.83390408902094,Democrat,1,1,D,D
NY,16,Latimer,George,-73.79154803,40.98595436102425,Democrat,1,20,D,D
NY,17,Lawler,Michael,-73.80148473,41.30776796,Republican,2,26,D,D
NY,19,Riley,Josh,-74.91055331,42.25520830335805,Democrat,5,10,D,D
NY,20,Tonko,Paul,-73.89491561,42.784283198087245,Democrat,25,129,D,D
NY,22,Mannion,John,-75.9897752,42.91298842194433,Democrat,1,5,D,D
NY,23,Langworthy,Nicholas,-78.11883025,42.299242365577726,Republican,2,27,R,D
NY,25,Morelle,Joseph,-77.67681165,43.13415625020536,Democrat,1,5,D,D
NY,26,Kennedy,Timothy,-78.84746509,42.98302513604797,Democrat,1,2,D,D
OR,1,Bonamici,Suzanne,-123.4314674,45.71766571228039,Democrat,11,74,D,D
OR,2,Bentz,Cliff,-119.7357743,43.77349119,Republican,5,294,R,D
OR,3,Dexter,Maxine,-121.9690375,45.45686302101381,Democrat,2,15,D,D
OR,4,Hoyle,Valerie,-123.4469951,43.64349394,Democrat,1,2,D,D
RI,1,Amo,Gabe,-71.35714334,41.75596304240917,Democrat,2,12,D,D
RI,2,Magaziner,Seth,-71.62376523,41.64614921,Democrat,1,2,D,D
SC,4,Timmons,William,-82.18697951,34.93070407882185,Republican,1,2,R,R
VT,0,Balint,Becca,-72.66753498,44.06944387506188,Democrat,2,3,D,D
WA,2,Larsen,Rick,-121.8561835,48.61771206693778,Democrat,3,48,D,D
WA,3,Gluesenkamp Perez,Marie,-122.5521712,46.31919965204937,Democrat,1,46,R,D
WA,5,Baumgartner,Michael,-118.0125803,47.43473209448041,Republican,4,8,R,D
WA,7,Jayapal,Pramila,-122.3716252,47.57159123006644,Democrat,1,3,D,D

WA,10,Strickland,Marilyn,-122.7545424,47.04276779601204,Democrat,1,995,D,D
