player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Alex Len,lenal01,2022,1208,562,-4.335553007505214,-.9873855981251065,-5.322938605630321,-.8993020136280726,-1.134508146846287,-2.033810160474359,-3.869151367637094,-.9869369680319369,-4.856088335669031,-.6068817541553534,-.6068817541553534,0,-4.318267379853758,-1.161882034335718,-5.480149414189476,.4962417670287494
Caris LeVert,leverca01,2022,2742,1338,.8801840979569193,-1.631552637360225,-.7513685394033056,2.336577821462422,-3.187690263253127,-.851112441790705,1.222415635810115,-2.034986751613794,-.8125711158036791,1.315035267101154,1.315035267101154,0,.8801031463045957,-1.602379310732308,-.7222761644277125,-.5546578654125988
Kira Lewis Jr.,lewiski01,2022,730,341,-2.074696681800581,-.8253567752987658,-2.900053457099346,-8.530819823034504,.2009305708379177,-8.329889252196587,-3.515178045079571,-.6224052707405067,-4.137583315820078,-.2430700765014873,-.2430700765014873,0,-2.771250466382687,-1.822522705577793,-4.59377317196048,.6876814601924132
Scottie Lewis,lewissc01,2022,17,7,6.568583215451641,.1636923591019992,6.73227557455364,-10.24238823749186,-1.024076278878988,-11.26646451637085,3.491133265967065,-.0395200066157976,3.451613259351268,.0223286273791975,.0223286273791975,0,2.08885366939715,.2349528936355481,2.323806563032698,.8131931018919474
Damian Lillard,lillada01,2022,2186,1056,4.145403480414426,-1.939970845151585,2.20543263526284,2.655681251728526,-1.479251902508399,1.176429349220127,4.143720679512032,-1.917641104487032,2.226079575025,2.700629900962063,2.700629900962063,0,5.248967180775097,-2.372893853947195,2.876073326827902,.7330643685300533
Nassir Little,littlna01,2022,2232,1088,-.3443699677551857,.8161436271433848,.4717736593881991,1.331297016162341,1.552150551456838,2.88344756761918,-.028342242001421,1.070032188468763,1.041689946467342,2.098395919055175,2.098395919055175,0,.3374103462568713,.4600037796486915,.7974141259055629,-.3021430595396356
Isaiah Livers,liveris01,2022,40,18,-9.137624363463235,13.08323846820707,3.945614104743839,3.461031100948772,-9.042260335696341,-5.581229234747569,-6.985896336743937,9.295562529334298,2.309666192590361,.0476840167670262,.0476840167670262,0,-6.769201028701969,5.562344555878707,-1.206856472823262,2.620308614131341
Kevon Looney,looneke01,2022,2704,1305,-1.691682798403091,2.420183219428721,.7285004210256307,3.729811075213449,-1.774440693082594,1.955370382130856,-.6765307717092266,1.575189429213099,.8986586575038723,2.412031033165247,2.412031033165247,0,-1.445663020664324,2.328004369627564,.8823413489632395,-.7112586348572538
Brook Lopez,lopezbr01,2022,58,28,-3.495739974850188,14.00474295991934,10.50900298506915,2.529015402301477,-7.251899324309251,-4.722883922007775,-2.492759114293811,10.40140579004794,7.908646675754131,.1503447439779851,.1503447439779851,0,-2.216874514360563,9.377344214937928,7.160469700577365,-1.260700051858162
Robin Lopez,lopezro01,2022,962,466,-2.570702311761163,-3.05711168478022,-5.627813996541382,-2.407971826841296,-.1058833397059836,-2.513855166547279,-2.598637885820617,-2.573296020828513,-5.17193390664913,-.5712410379674226,-.5712410379674226,0,-4.657812334629519,-3.128422867665135,-7.786235202294653,-.7953077733799157
Didi Louzada,louzama01,2022,15,7,-13.58670112986975,-8.763278378957402,-22.34997950882715,-8.533516018518146,-9.468100704334523,-18.00161672285267,-13.24059225411433,-9.297286560582055,-22.53787881469638,-.0686020344934179,-.0686020344934179,0,-6.985188666918514,-9.68787283270288,-16.67306149962139,-2.925581946717682
Kevin Love,loveke01,2022,2404,1147,3.036859563683403,2.101506973943721,5.138366537627124,-.9866849327359594,-.0200469753184004,-1.00673190805436,2.382993251867359,1.718292172379475,4.101285424246834,4.054462413521945,4.054462413521945,0,2.139939844773105,1.169082583765702,3.309022428538807,1.124247663664283
Kyle Lowry,lowryky01,2022,3378,1647,1.981661765746091,1.252616974045532,3.234278739791622,.6782804535444042,2.321009610984015,2.99929006452842,1.797755225535374,1.515957760684641,3.313712986220016,5.156425780306749,5.156425780306749,0,2.082718741617988,1.922085815278274,4.004804556896262,1.198460418074064
Timothe Luwawu-Cabarrot,luwawti01,2022,975,455,-1.913005155246472,.5363533643758585,-1.376651790870614,-5.427476190790567,-1.133453905841109,-6.560930096631676,-2.8019028767403,.2491594258411069,-2.552743450899193,.0458953369028673,.0458953369028673,0,-3.15776982521979,-.5699150256817586,-3.727684850901549,.227030657290323
Trey Lyles,lylestr01,2022,2143,1020,-1.101618227339787,-1.671650712409831,-2.773268939749618,.6242770103845351,-2.184412096448187,-1.560135086063652,-.7011662233814427,-1.824418319244838,-2.525584542626281,.1285550775739744,.1285550775739744,0,-.84933337454605,-1.829206999320897,-2.678540373866948,.410932773551501
