Rank,Name,Salary
324,Josh Richardson,2891467
324,Boban Marjanovic,2891467
324,Montrezl Harrell,2891467
327,Kris Murray,2847504
328,Andrew Nicholson,2844429
329,Walker Kessler,2831160
330,Josh Okogie,2815937
331,Keon Johnson,2808720
332,Omer Yurtseven,2800000
333,Dewayne Dedmon,2748674
334,Olivier-Maxence Prosper,2733720
335,David Roddy,2718240
336,Christian Wood,2709849
336,Derrick Jones,2709849
336,Dario Saric,2709849
336,Malik Beasley,2709849
340,Isaiah Jackson,2696280
341,Marcus Sasser,2624028
342,MarJon Beauchamp,2609400
343,Charles Bassey,2600000
344,Damian Jones,2586665
345,Kris Dunn,2586484
346,Bruno Fernando,2581522
347,Ben Sheppard,2537172
348,Torrey Craig,2528233
348,Thomas Bryant,2528233
348,Damion Lee,2528233
348,Dennis Smith,2528233
348,Frank Ntilikina,2528233
348,Shaquille Harrison,2528233
348,Ryan Arcidiacono,2528233
355,Blake Wesley,2504640
356,Josh Christopher,2485200
357,Nick Smith,2463912
358,Brice Sensabaugh,2448600
359,Ty Jerome,2439025
360,Julian Strawther,2431044
361,Wendell Moore,2421720
362,Kobe Brown,2413356
363,Luke Kornet,2413304
364,John Konchar,2400000
365,Quentin Grimes,2385720
366,Nikola Jovic,2352000
367,Keita Bates-Diop,2346614
367,Drew Eubanks,2346614
367,Yuta Watanabe,2346614
367,Sviatoslav Mykhailiuk,2346614
367,Lonnie Walker,2346614
367,Aaron Holiday,2346614
367,Thanasis Antetokounmpo,2346614
367,Mo Bamba,2346614
367,Chimezie Metu,2346614
376,Patrick Baldwin,2337720
377,Jordan McLaughlin,2320000
378,Bones Hyland,2306400
379,Peyton Watson,2303520
380,Cam Thomas,2240160
381,Vlatko Cancar,2234359
382,Jaden Springer,2226240
383,Day'Ron Sharpe,2210040
384,Santiago Aldama,2194200
385,Oshae Brissett,2165000
385,Jaxson Hayes,2165000
385,Cam Reddish,2165000
385,Chris Silva,2165000
385,Darius Bazley,2165000
385,Harry Giles,2165000
385,Bol Bol,2165000
385,Moses Brown,2165000
385,Romeo Langford,2165000
394,Andrew Nembhard,2131905
395,Charlie Brown,2092354
396,DaQuan Jeffries,2066585
396,Isaiah Roby,2066585
396,Goga Bitadze,2066585
396,Luka Samanic,2066585
400,Terry Taylor,2019706
400,Colby Jones,2019706
400,Dalano Banton,2019706
