,Gross,Diff,CapPct,DiffPct,Date,Show,Theater,Avg_Ticket,Top_Ticket,Seats_Sold,Capacity,Performances,Previews
5,1118337.1,100542.3,97.1,3.16,12/14/25,The Book of Mormon,Eugene O'Neill Theatre,135.05,279,8281,1066,8,0
6,1094651.6,-24979.9,92.97,-1.63,12/14/25,Buena Vista Social Club,Gerald Schoenfeld Theatre,140.3,397,7802,1049,8,0
7,1887488.28,-68219.12,96.64,4.37,12/14/25,Chess,Imperial Theatre,168.84,497,11179,1446,8,0
8,707054.45,44166.7,77.48,4.17,12/14/25,Chicago,Ambassador Theatre,105.63,237,6694,1080,8,0
9,1350359.7,-141205.4,94.36,-1.1,12/14/25,Death Becomes Her,Lunt-Fontanne Theatre,119.98,349,11255,1491,8,0
10,1320469.83,163657.43,94.87,6.84,12/14/25,The Great Gatsby,Broadway Theatre,117.17,474,11270,1485,8,0
11,938943,91528,98.84,1.88,12/14/25,Hadestown,Walter Kerr Theatre,129.35,0,7259,918,8,0
12,2804662,58669,100.68,0.57,12/14/25,Hamilton,Richard Rodgers Theatre,263,575,10664,1324,8,0
13,2986733.5,47106.5,100,0,12/14/25,Harry Potter and the Cursed Child,Lyric Theatre,230.17,600,12976,1622,8,0
14,1011121.18,113182.69,87.43,6.03,12/14/25,Hell's Kitchen,Sam S. Shubert Theatre,99.22,347,10191,1457,8,0
15,1470022.5,21287,103.28,0.25,12/14/25,Just in Time,Circle in the Square Theatre,257.85,674.5,5701,690,8,0
16,429693.6,50789.6,62.41,7.34,12/14/25,Liberation,James Earl Jones Theatre,81.12,297,5297,1061,8,0
17,2370957.75,-39245.25,97,-0.74,12/14/25,The Lion King,Minskoff Theatre,180.15,315,13161,1696,8,0
18,433794.42,11703.92,73.51,5.18,12/14/25,Little Bear Ridge Road,Booth Theatre,95.8,0,4528,770,8,0
19,1914059.6,42603.18,97.71,0.57,12/14/25,Mamma Mia!,Winter Garden Theatre,162.26,398,11796,1509,8,0
20,292842.5,9835.1,86.73,-6.02,12/14/25,Marjorie Prime,Helen Hayes Theater,72.65,269,4031,581,8,0
21,1264105.27,35070.05,98.7,2.07,12/14/25,Maybe Happy Ending,Belasco Theatre,164.53,475,7683,973,8,0
22,1441939.35,-20321.7,89.75,2.05,12/14/25,MJ The Musical,Neil Simon Theatre,144.79,352,9959,1387,8,0
23,1123708.8,-38572.6,93.88,-3.5,12/14/25,Moulin Rouge! The Musical,Al Hirschfeld Theatre,115.1,0,9763,1300,8,0
24,849754.5,57461,89.93,4.45,12/14/25,Oedipus,Studio 54,116.37,327,7302,1015,8,0
25,1214116.76,-21331.74,100,0,12/14/25,"Oh, Mary!",Lyceum Theatre,169.57,375,7160,895,8,0
26,729708.38,39968.28,88.42,6.46,12/14/25,Operation Mincemeat,John Golden Theatre,130.58,475,5588,790,8,0
27,1205240.3,5309.84,96.06,3.04,12/14/25,The Outsiders,Bernard B. Jacobs Theatre,153.16,497,7869,1024,8,0
28,792189.98,97466.48,76.93,3.41,12/14/25,The Queen of Versailles,St. James Theatre,98.19,249,8068,1311,8,0
29,1343015,73483,100,0,12/14/25,Ragtime,Vivian Beaumont Theater,159.43,349,8424,1053,8,0
30,731166.9,-21607,82.31,0.31,12/14/25,SIX: The Musical,Lena Horne Theatre,107.7,279,6789,1031,8,0
31,1610132.1,275084.5,98.74,9.33,12/14/25,Stranger Things: The First Shadow,Marquis Theatre,127.88,305,12591,1594,8,0
32,634437.1,6871.9,76.43,3.66,12/14/25,Two Strangers (Carry a Cake Across New York),Longacre Theatre,99.1,375,6402,1047,8,0
33,1285709.91,-27726.14,99.54,1.03,12/14/25,Waiting for Godot,Hudson Theatre,165.77,599,7756,974,8,0
34,2763955,63772,100,0,12/14/25,Wicked,Gershwin Theatre,179.38,277,15408,1926,8,0
0,849126.4,-150479.8,87.24,-8.37,12/7/25,& Juliet,Stephen Sondheim Theatre,118.58,324,7161,1026,8,0
1,1447385.1,-267749.8,94.41,-2.33,12/7/25,Aladdin,New Amsterdam Theatre,110.96,239.5,13044,1727,8,0
2,1594034.3,155514.9,98.55,4.53,12/7/25,Art,Music Box Theatre,202.39,523,7876,999,8,0
3,624784.82,-167472.89,56.69,-6.5,12/7/25,Beetlejuice,Palace Theatre,83.59,299,7474,1648,8,0
4,1017794.8,-93209.1,93.94,-3,12/7/25,The Book of Mormon,Eugene O'Neill Theatre,127.05,309,8011,1066,8,0
5,1119631.5,-175298.8,94.6,-1.68,12/7/25,Buena Vista Social Club,Gerald Schoenfeld Theatre,141.03,397,7939,1049,8,0
6,1955707.4,-111034.7,92.27,-6.11,12/7/25,Chess,Imperial Theatre,183.22,475,10674,1446,8,0
7,662887.75,-92337.32,73.31,-2.66,12/7/25,Chicago,Ambassador Theatre,104.66,267,6334,1080,8,0
8,1491565.1,70402,95.46,1.34,12/7/25,Death Becomes Her,Lunt-Fontanne Theatre,131,349,11386,1491,8,0
9,1156812.4,-209941.65,88.03,-4.52,12/7/25,The Great Gatsby,Broadway Theatre,110.62,474,10458,1485,8,0
10,847415,-319295,96.96,-2.02,12/7/25,Hadestown,Walter Kerr Theatre,119,0,7121,918,8,0
11,2745993,-2131807,100.11,-1.15,12/7/25,Hamilton,Richard Rodgers Theatre,258.96,575,10604,1324,8,0
12,2939627,-212905.5,100,0,12/7/25,Harry Potter and the Cursed Child,Lyric Theatre,226.54,600,12976,1622,8,0
13,897938.49,-116921.48,81.4,-5.67,12/7/25,Hell's Kitchen,Sam S. Shubert Theatre,94.64,347,9488,1457,8,0
14,1448735.5,196473.25,103.03,14.17,12/7/25,Just in Time,Circle in the Square Theatre,254.75,674.5,5687,690,8,0
15,378904,55162.19,55.07,9.9,12/7/25,Liberation,James Earl Jones Theatre,81.07,347,4674,1061,8,0
16,2410203,-376897,97.74,-1,12/7/25,The Lion King,Minskoff Theatre,181.74,325,13262,1696,8,0
17,422090.5,-10992.5,68.33,-4.12,12/7/25,Little Bear Ridge Road,Booth Theatre,100.28,287,4209,770,8,0
