DBN,School Name,School Code,Borough,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
31R039,P.S. 39 Francis J. Murphy Jr.,R039,R,"$1,643.77 ","$15,695.84 ","$15,594.86 ",$100.98 ,93,17.70%,44,8.40%,169,32.20%,9,1.70%,210,40.00%,60.00%,139,26.50%,88,16.80%,340,64.80%,63.90%,525,$29.90 
30Q212,P.S. 212,Q212,Q,"$4,411.82 ","$23,673.05 ","$12,406.62 ","$11,266.43 ",215,27.10%,5,0.60%,468,59.00%,21,2.60%,84,10.60%,89.40%,117,14.80%,119,15.00%,441,55.60%,64.10%,793,$29.85 
17K590,Medgar Evers College Preparatory School,K590,K,"$10,394.93 ","$39,736.00 ","$29,261.00 ","$1,039,493.00 ",33,2.50%,1158,86.90%,72,5.40%,57,4.30%,12,0.90%,99.10%,89,6.70%,5,0.40%,891,66.90%,53.50%,1332,$29.83 
20K503,P.S. 503: The School of Discovery,K503,K,"$5,191.68 ","$29,418.15 ","$23,402.30 ","$6,015.85 ",198,20.00%,5,0.50%,737,74.50%,1,0.10%,48,4.90%,95.10%,234,23.70%,547,55.30%,935,94.50%,92.00%,989,$29.75 
27Q306,New York City Academy for Discovery,Q306,Q,"$1,199.74 ","$11,730.24 ","$9,092.03 ","$263,821.00 ",73,18.50%,22,5.60%,267,67.60%,22,5.60%,11,2.80%,97.20%,74,18.70%,67,17.00%,328,83.00%,66.60%,395,$29.70 
31R072,I.S. 072 Rocco Laurie,R072,R,"$9,034.16 ","$42,656.09 ","$33,596.54 ","$9,059.55 ",330,22.90%,69,4.80%,379,26.20%,24,1.70%,642,44.50%,55.50%,314,21.70%,66,4.60%,903,62.50%,48.40%,1444,$29.54 
30Q092,P.S. 092 Harry T. Stewart Sr.,Q092,Q,"$10,889.42 ","$26,724.92 ","$14,893.15 ","$11,831.77 ",11,1.20%,6,0.70%,882,97.20%,4,0.40%,4,0.40%,99.60%,182,20.10%,206,22.70%,726,80.00%,82.80%,907,$29.47 
10X306,P.S. 306,X306,X,$102.00 ,"$19,165.05 ","$18,338.44 ",$826.61 ,9,1.40%,163,25.00%,473,72.70%,1,0.20%,5,0.80%,99.20%,132,20.30%,106,16.30%,572,87.90%,94.20%,651,$29.44 
08X072,P.S. 072 Dr. William Dorney,X072,X,"$5,600.65 ","$22,102.14 ","$19,395.46 ","$2,706.68 ",32,4.20%,169,22.30%,519,68.60%,0,0.00%,37,4.90%,95.10%,216,28.50%,37,4.90%,651,86.00%,80.60%,757,$29.20 
24Q007,P.S. 007 Louis F. Simeone,Q007,Q,"$2,764.45 ","$40,125.76 ","$31,752.60 ","$8,373.16 ",835,60.70%,4,0.30%,482,35.10%,8,0.60%,46,3.30%,96.70%,169,12.30%,540,39.30%,1128,82.00%,75.50%,1375,$29.18 
31R021,P.S. 21 Margaret Emery-Elm Park,R021,R,"$4,540.31 ","$9,941.87 ","$5,908.57 ","$8,881.61 ",5,1.40%,103,29.80%,198,57.20%,7,2.00%,33,9.50%,90.50%,130,37.60%,50,14.50%,290,83.80%,86.80%,346,$28.73 
18K279,P.S. 279 Herman Schreiber,K279,K,"$1,268.55 ","$11,438.00 ","$7,001.60 ","$4,436.40 ",10,2.50%,353,87.80%,23,5.70%,4,1.00%,12,3.00%,97.00%,55,13.70%,21,5.20%,323,80.30%,67.90%,402,$28.45 
02M534,Harvest Collegiate High School,M534,M,"$4,654.16 ","$12,964.37 ","$6,587.91 ","$6,376.46 ",30,6.60%,96,21.00%,228,49.90%,19,4.20%,84,18.40%,81.60%,115,25.20%,11,2.40%,307,67.20%,61.60%,457,$28.37 
17K181,P.S. 181 Brooklyn,K181,K,"$5,281.52 ","$18,253.00 ","$20,326.50 ","$4,001.02 ",10,1.60%,541,84.00%,63,9.80%,12,1.90%,18,2.80%,97.20%,122,18.90%,90,14.00%,491,76.20%,81.00%,644,$28.34 
05M123,P.S. 123 Mahalia Jackson,M123,M,"$1,573.52 ","$13,331.60 ","$14,821.10 ",$84.42 ,10,2.10%,239,50.70%,194,41.20%,11,2.30%,17,3.60%,96.40%,115,24.40%,77,16.30%,447,94.90%,92.90%,471,$28.30 
11X105,P.S. 105 Sen Abraham Bernstein,X105,X,"$6,499.13 ","$29,070.63 ","$21,354.76 ","$7,715.87 ",101,9.80%,107,10.40%,652,63.40%,18,1.80%,150,14.60%,85.40%,195,19.00%,272,26.50%,942,91.60%,85.40%,1028,$28.28 
22K251,P.S. 251 Paerdegat,K251,K,$218.20 ,"$13,484.00 ","$10,874.55 ","$2,609.45 ",12,2.50%,358,74.90%,69,14.40%,13,2.70%,26,5.40%,94.60%,90,18.80%,33,6.90%,365,76.40%,77.60%,478,$28.21 
11X181,I.S. 181 Pablo Casals,X181,X,"$2,731.80 ","$24,851.62 ","$23,215.99 ","$1,635.63 ",45,5.10%,539,60.60%,242,27.20%,31,3.50%,33,3.70%,96.30%,209,23.50%,32,3.60%,704,79.10%,63.10%,890,$27.92 
