,Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
395,396,KeyCorp,"$7,337 ",-0.046,"$1,343 ",-0.218,"$170,336 ","$19,182 ",15,16826,15,99
396,397,Delek US Holdings,"$7,301.80 ",-0.215,($608),-2.958,"$6,134.10 ","$1,609 ",-55,3532,-55,399
397,398,Masco,"$7,289 ",-0.115,"$1,224 ",0.309,"$5,777 ","$15,208.80 ",-14,18000,-14,-
398,399,Graybar Electric,"$7,265.70 ",-0.034,$121.80 ,-0.157,"$2,551.20 ",-,16,8200,16,-
399,400,WEC Energy Group,"$7,241.70 ",-0.037,"$1,199.90 ",0.058,"$37,028.10 ","$29,521.50 ",16,7273,16,312
400,401,Old Republic International,"$7,166 ",-0.007,$558.60 ,-0.471,"$22,815.20 ","$6,650.30 ",26,9000,26,453
401,402,Frontier Communications,"$7,155 ",-0.117,($402),-,"$16,795 ",$29.30 ,-9,16200,-9,454
402,403,Chewy,"$7,146.30 ",0.474,($92.50),-,"$1,740.90 ","$35,176.90 ",156,18500,-,454
403,404,PVH,"$7,132.60 ",-0.28,"($1,136.10)",-3.723,"$13,293.50 ","$7,522.70 ",-82,26500,-82,9
404,405,Asbury Automotive Group,"$7,131.80 ",-0.011,$254.40 ,0.38,"$3,676.30 ","$3,798.10 ",23,7750,23,399
405,406,Seaboard,"$7,126 ",0.042,$283 ,-,"$6,399 ","$4,283.30 ",38,13100,38,-
406,407,Polaris,"$7,108.30 ",0.036,$124.80 ,-0.615,"$4,632.70 ","$8,179.30 ",35,15000,35,250
407,408,Dana,"$7,106 ",-0.176,($31),-1.137,"$7,376 ","$3,529.40 ",-41,38200,-41,382
408,409,First American Financial,"$7,086.70 ",0.143,$696.40 ,-0.016,"$12,796 ","$6,216.50 ",67,19597,67,151
409,410,Cintas,"$7,085.10 ",0.028,$876 ,-0.01,"$7,669.90 ","$35,850.90 ",31,40000,31,343
410,411,Toll Brothers,"$7,077.70 ",-0.02,$446.60 ,-0.243,"$11,065.70 ","$6,984.80 ",15,4500,15,343
411,412,Science Applications International,"$7,056 ",0.106,$209 ,-0.075,"$5,723 ","$4,853.80 ",54,26134,54,226
412,413,Owens Corning,"$7,055 ",-0.015,($383),-1.946,"$9,481 ","$9,662.70 ",18,19000,18,65
413,414,Zimmer Biomet Holdings,"$7,024.50 ",-0.12,($138.90),-1.123,"$24,417.70 ","$33,347.30 ",-15,20000,-15,454
414,415,Xerox Holdings,"$7,022 ",-0.232,$192 ,-0.858,"$14,741 ","$4,821.30 ",-68,24700,-68,-
415,416,Arthur J. Gallagher,"$7,003.60 ",-0.027,$818.80 ,0.224,"$22,331.40 ","$24,353.40 ",13,32401,13,200
416,417,Avery Dennison,"$6,971.50 ",-0.014,$555.90 ,0.831,"$6,083.90 ","$15,246.50 ",18,32000,18,134
417,418,Sanmina,"$6,960.40 ",-0.155,$139.70 ,-0.013,"$3,772.70 ","$2,686.70 ",-33,33500,-33,342
418,419,Jefferies Financial Group,"$6,955.90 ",0.298,$775.20 ,-0.196,"$53,118.40 ","$7,524.60 ",101,4945,-,394
419,420,Beacon Roofing Supply,"$6,943.90 ",-0.023,($80.90),-,"$6,957.50 ","$3,631.40 ",14,7582,14,399
420,421,Securian Financial Group,"$6,870.40 ",0.041,$243.30 ,-0.441,"$68,059.30 ",-,34,6537,34,244
