player_id,game_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
8478846,6057063217,27,3183,0,0,4,0.0,0,0,0,0,0,0.0,2.0,0,0,4.0,1,2950,13,220
8478851,6057062084,54,1940,0,0,4,3.0,0,0,2,0,0,0.0,0.0,0,0,0.0,2,1940,0,0
8478856,137293395372,3604,57744,17,22,158,26.0,4,6,20,4,11,30.0,27.0,0,0,20.0,1,49160,27,8557
8478857,88836902046,475,22523,5,4,37,93.0,0,0,16,0,0,5.0,7.0,0,0,11.0,1,22298,73,152
8478859,10095103490,95,4309,1,0,10,5.0,0,0,0,0,0,0.0,1.0,0,0,3.0,3,4037,272,0
8478866,129217312213,320,55324,15,7,102,57.0,0,1,12,15,42,41.0,31.0,0,0,20.0,-9,52596,883,1845
8478868,26247270458,117,8202,3,0,5,14.0,0,0,6,0,0,1.0,5.0,0,1,12.0,-2,7560,642,0
8478870,30285313030,135,10925,2,1,23,19.0,0,0,0,0,2,7.0,5.0,0,0,7.0,-2,9405,0,1520
8478873,94893960458,1128,40942,11,4,73,3.0,0,2,6,3,8,31.0,19.0,0,0,9.0,-5,35871,23,5048
8478874,119122215733,1357,43838,21,12,75,29.0,4,8,37,187,454,23.0,15.0,0,0,20.0,-7,38480,13,5345
8478881,4038040729,2,1192,0,0,1,2.0,0,0,0,0,2,1.0,3.0,0,0,0.0,-1,1192,0,0
8478882,139312418040,2001,78574,13,5,81,79.0,0,0,18,0,0,16.0,33.0,0,0,92.0,1,72198,6133,243
8478888,2019020220,6,593,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0,0,2.0,-1,558,35,0
8478891,92874950289,2392,30808,3,5,55,20.0,0,0,20,5,13,11.0,10.0,1,0,12.0,-9,27922,2575,311
8478906,74703764035,1073,35345,6,3,47,35.0,0,1,4,0,0,6.0,13.0,0,0,33.0,2,34586,73,686
8478911,141331437704,1820,76114,14,4,112,132.0,0,1,10,0,0,7.0,43.0,0,0,100.0,16,70011,5932,171
8478915,34323352570,884,16482,5,0,27,16.0,0,0,12,0,0,2.0,11.0,0,0,19.0,-2,15939,11,532
8478949,6057060698,87,1195,0,0,6,10.0,0,0,2,0,1,2.0,0.0,0,0,1.0,0,1195,0,0
8478975,8076082851,40,1940,1,0,3,3.0,0,0,0,1,1,1.0,1.0,0,0,0.0,0,1898,0,42
8478996,14133144630,70,3298,3,0,2,0.0,0,0,0,5,10,2.0,1.0,0,0,1.0,1,3138,118,42
8479026,100951031733,200,51321,12,4,78,80.0,0,0,30,0,0,21.0,32.0,0,0,44.0,17,49861,1032,428
8479291,98932010243,49,34488,5,4,59,64.0,0,0,20,175,372,17.0,13.0,2,1,32.0,8,28243,6171,74
8479293,137293396427,340,60221,14,11,95,244.0,0,1,16,6,15,33.0,37.0,2,1,65.0,-1,50892,8950,379
8479314,139312416084,1380,75799,38,23,188,122.0,5,14,74,0,4,40.0,86.0,0,0,22.0,-5,64048,15,11736
8479315,36342377039,18,14274,2,4,21,16.0,0,0,2,3,6,4.0,7.0,0,0,6.0,1,12078,2123,73
8479316,127198292127,1890,58460,16,15,128,64.0,0,2,55,210,472,9.0,15.0,1,0,54.0,-10,50213,5236,3011
8479318,141331437003,700,88072,33,47,290,40.0,12,13,8,506,920,78.0,48.0,0,0,60.0,19,74499,149,13424
8479320,12114122785,54,2814,0,0,3,2.0,0,0,0,0,0,0.0,0.0,0,0,3.0,0,2775,0,39
