activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300INFJ8TYNZ1G568,14454,MA,25025,25025040600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,0,2,1,1,1,2,2,2,865000.0,NA,6.075,NA,2,6294.38,NA,1841.88,646.88,,360,NA,84,2,2,2,2,1295000,1,1,3,5,1,NA,308,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,3,3,6,,,,,10,,,,3683,19.06,136200,176,874,1201,75
2024,549300INFJ8TYNZ1G568,14454,MA,25025,25025120600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,1,1,1,1,2,2,2,595000.0,59.92,5.925,-0.097,2,4460.5,NA,746.5,,,360,NA,84,2,2,2,2,995000,1,1,3,5,1,NA,347,20%-<30%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,2,6,,,,,10,,,,2566,27.83,136200,151,583,1034,0
2024,549300INFJ8TYNZ1G568,14454,MA,25025,25025040300,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,2,1195000.0,60,6.25,-0.016,2,6536.4,NA,1195,,,360,NA,84,2,2,2,2,1995000,1,1,3,5,1,NA,340,50%-60%,3,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,35-44,35-44,No,No,2,2,6,,,,,10,,,,4525,22.52,136200,140,1230,1836,0
2024,549300INFJ8TYNZ1G568,14454,MA,25025,25025060604,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,1,1,1,2,2,2,1595000.0,60,6.1,-0.424,3,6823,NA,400,,,360,NA,120,2,2,2,2,2655000,1,2,3,5,1,NA,520,50%-60%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,2,2,6,,,,,10,,,,2803,24.72,136200,222,332,0,6
2024,549300INFJ8TYNZ1G568,14454,MA,25025,25025110607,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,1,1,1,1,2,2,2,305000.0,46.875,6.25,-0.269,2,4146.5,NA,1195,,,360,NA,120,2,2,2,2,645000,1,1,3,5,1,NA,574,<20%,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,1,2,2,25-34,65-74,No,Yes,2,2,6,,,,,10,,,,5276,22.78,136200,124,1347,1978,0
2024,549300INFJ8TYNZ1G568,14454,MA,25025,25025070301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,1,1,1,1,2,2,1,425000.0,51.22,6.35,NA,3,NA,NA,NA,NA,NA,360,NA,84,2,2,2,2,825000,1,3,3,5,1,NA,339,20%-<30%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,2,2,6,,,,,10,,,,2213,23.77,136200,210,809,961,0
2024,549300INFJ8TYNZ1G568,14454,MA,25021,25021401201,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,1,1,1,1,2,2,2,1605000.0,80,5.875,-0.544,2,9077,NA,1195,,,360,NA,120,2,2,2,2,2015000,1,1,3,5,1,NA,3127,20%-<30%,1,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,25-34,>74,No,Yes,2,2,6,,,,,10,,,,5191,38.28,136200,209,1168,1692,73
2024,549300INFJ8TYNZ1G568,14454,MA,25023,25023540103,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,1,1,1,2,2,2,705000.0,46.667,6.5,-0.171,2,5153,NA,1195,,,360,NA,120,2,2,2,2,1505000,1,1,3,5,1,NA,276,43,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,2,2,6,,,,,10,,,,4446,7.33,136200,143,1413,1510,31
2024,549300INFJ8TYNZ1G568,14454,MA,25023,25023507103,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,1865000.0,60,6.25,-0.154,2,5568,NA,0,,,360,NA,84,2,2,2,2,3105000,1,1,3,5,1,NA,2123,20%-<30%,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,55-64,Yes,No,2,2,6,,,,,10,,,,4534,7.83,136200,155,1518,1596,59
2024,549300INFJ8TYNZ1G568,14454,MA,25023,25023507103,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,1,1,1,2,2,2,2055000.0,73.214,5.75,-0.611,2,8711,NA,1195,,,360,NA,120,2,2,2,2,2805000,1,1,3,5,1,NA,497,44,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,2,6,,,,,10,,,,4534,7.83,136200,155,1518,1596,59
2024,549300INFJ8TYNZ1G568,14454,MA,25025,25025020101,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,6,0,2,1,1,1,2,2,2,805000.0,NA,5.95,NA,2,6664.5,NA,1795,600,,360,NA,120,2,2,2,2,1685000,1,1,3,5,1,NA,399,NA,9,9,2,,,,,5,,,,,2,4,2,22,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,3,3,6,,,,,10,,,,4235,13.98,136200,222,1111,1128,0
2024,549300INFJ8TYNZ1G568,14454,MA,25021,25021401100,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,1305000.0,43.118,6.375,0.078,2,6308,NA,1195,,,360,NA,84,2,2,2,2,3015000,1,1,3,5,1,NA,663,30%-<36%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,55-64,No,Yes,2,2,6,,,,,10,,,,4827,31.9,136200,222,1051,1133,0
2024,549300INFJ8TYNZ1G568,14454,MA,25025,25025070402,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,1,1,1,2,2,2,1195000.0,79.91,5.125,-0.524,2,5080.57,NA,0,,,360,NA,60,2,2,2,2,1495000,1,1,3,5,1,NA,666,42,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,2,6,,,,,10,,,,3561,58.64,136200,30,61,272,6
2024,549300INFJ8TYNZ1G568,14454,MA,25021,25021457200,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,885000.0,65.407,6.25,-0.253,2,5700.5,NA,1195,,,360,NA,120,2,2,2,2,1355000,1,1,3,5,1,NA,281,37,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,2,6,,,,,10,,,,5969,16.49,136200,192,1800,1847,65
